trainee_id,trainee_name,query_attempts,query_success,window_success_count,window_count
idol_producer_015,灵超,html:初评级阶段:灵超 偶像练习生:200:11 | html:主题曲考核阶段:灵超 偶像练习生:200:11 | html:位置测评阶段:灵超 偶像练习生:200:11 | html:排名发布阶段:灵超 偶像练习生:200:23 | html:合作舞台阶段:灵超 偶像练习生:200:22 | html:总决赛阶段:灵超 偶像练习生:200:17,1,6,6
idol_producer_016,郑锐彬,html:初评级阶段:郑锐彬 偶像练习生:200:9 | html:主题曲考核阶段:郑锐彬 偶像练习生:200:7 | html:位置测评阶段:郑锐彬 偶像练习生:200:11 | html:排名发布阶段:郑锐彬 偶像练习生:200:23 | html:合作舞台阶段:郑锐彬 偶像练习生:200:16 | html:总决赛阶段:郑锐彬 偶像练习生:200:18,1,6,6
idol_producer_017,董又霖,html:初评级阶段:董又霖 偶像练习生:200:11 | html:主题曲考核阶段:董又霖 偶像练习生:200:6 | html:位置测评阶段:董又霖 偶像练习生:200:7 | html:排名发布阶段:董又霖 偶像练习生:200:17 | html:合作舞台阶段:董又霖 偶像练习生:200:15 | html:总决赛阶段:董又霖 偶像练习生:200:16,1,6,6
idol_producer_018,秦奋,html:初评级阶段:秦奋 偶像练习生:200:13 | html:主题曲考核阶段:秦奋 偶像练习生:200:7 | html:位置测评阶段:秦奋 偶像练习生:200:12 | html:排名发布阶段:秦奋 偶像练习生:200:19 | html:合作舞台阶段:秦奋 偶像练习生:200:18 | html:总决赛阶段:秦奋 偶像练习生:200:11,1,6,6
idol_producer_019,林超泽,html:初评级阶段:林超泽 偶像练习生:200:7 | html:主题曲考核阶段:林超泽 偶像练习生:200:7 | html:位置测评阶段:林超泽 偶像练习生:200:5 | html:排名发布阶段:林超泽 偶像练习生:200:22 | html:合作舞台阶段:林超泽 偶像练习生:200:20 | html:总决赛阶段:林超泽 偶像练习生:200:13,1,6,6
idol_producer_020,徐圣恩,html:初评级阶段:徐圣恩 偶像练习生:200:11 | html:主题曲考核阶段:徐圣恩 偶像练习生:200:12 | html:位置测评阶段:徐圣恩 偶像练习生:200:9 | html:排名发布阶段:徐圣恩 偶像练习生:200:19 | html:合作舞台阶段:徐圣恩 偶像练习生:200:23 | html:总决赛阶段:徐圣恩 偶像练习生:200:27,1,6,6
idol_producer_021,丁泽仁,html:初评级阶段:丁泽仁 偶像练习生:200:11 | html:主题曲考核阶段:丁泽仁 偶像练习生:200:8 | html:位置测评阶段:丁泽仁 偶像练习生:200:11 | html:排名发布阶段:丁泽仁 偶像练习生:200:20 | html:合作舞台阶段:丁泽仁 偶像练习生:200:15 | html:总决赛阶段:丁泽仁 偶像练习生:200:14,1,6,6
idol_producer_022,万宇贤,html:初评级阶段:万宇贤 偶像练习生:200:11 | html:主题曲考核阶段:万宇贤 偶像练习生:200:11 | html:位置测评阶段:万宇贤 偶像练习生:200:11 | html:排名发布阶段:万宇贤 偶像练习生:200:12 | html:合作舞台阶段:万宇贤 偶像练习生:200:11 | html:总决赛阶段:万宇贤 偶像练习生:200:13,1,6,6
idol_producer_023,于斌,html:初评级阶段:于斌 偶像练习生:200:15 | html:主题曲考核阶段:于斌 偶像练习生:200:15 | html:位置测评阶段:于斌 偶像练习生:200:11 | html:排名发布阶段:于斌 偶像练习生:200:9 | html:合作舞台阶段:于斌 偶像练习生:200:9 | html:总决赛阶段:于斌 偶像练习生:200:11,1,6,6
idol_producer_024,于浩,html:初评级阶段:于浩 偶像练习生:200:8 | html:主题曲考核阶段:于浩 偶像练习生:200:10 | html:位置测评阶段:于浩 偶像练习生:200:11 | html:排名发布阶段:于浩 偶像练习生:200:11 | html:合作舞台阶段:于浩 偶像练习生:200:25 | html:总决赛阶段:于浩 偶像练习生:200:18,1,6,6
