trainee_id,trainee_name,week_no,window_label,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
chuang2021_015,井汲大翔,3,首次排名阶段,22,6,38,256,338
chuang2021_015,井汲大翔,4,位置测评与第二次排名阶段,25,2,358,275,993
chuang2021_015,井汲大翔,5,主题考核与第三次排名阶段,25,0,110,336,556
chuang2021_015,井汲大翔,6,决赛阶段,26,48,70,717,905
chuang2021_016,张星特,1,初评级阶段,25,710,1745,16677,20877
chuang2021_016,张星特,2,小组竞演与主题曲阶段,27,2098,3550,64443,73641
chuang2021_016,张星特,3,首次排名阶段,23,41,418,731,1608
chuang2021_016,张星特,4,位置测评与第二次排名阶段,23,3,70,432,575
chuang2021_016,张星特,5,主题考核与第三次排名阶段,24,445,745,8770,10705
chuang2021_016,张星特,6,决赛阶段,26,3,4,43,54
chuang2021_017,利路修,1,初评级阶段,23,206,1930,18545,22611
chuang2021_017,利路修,2,小组竞演与主题曲阶段,24,1,551,265,1368
chuang2021_017,利路修,3,首次排名阶段,26,8,148,649,953
chuang2021_017,利路修,4,位置测评与第二次排名阶段,24,23,657,1814,3151
chuang2021_017,利路修,5,主题考核与第三次排名阶段,20,0,0,42,42
chuang2021_017,利路修,6,决赛阶段,23,21,210,663,1104
chuang2021_018,吴宇恒,1,初评级阶段,21,265,1254,13564,16337
chuang2021_018,吴宇恒,2,小组竞演与主题曲阶段,25,0,7,44,58
chuang2021_018,吴宇恒,3,首次排名阶段,29,0,2,0,4
chuang2021_018,吴宇恒,4,位置测评与第二次排名阶段,17,23,69,270,431
chuang2021_018,吴宇恒,5,主题考核与第三次排名阶段,24,0,23,69,115
chuang2021_018,吴宇恒,6,决赛阶段,23,1,33,166,233
chuang2021_019,任胤蓬,1,初评级阶段,21,7,48,337,440
chuang2021_019,任胤蓬,2,小组竞演与主题曲阶段,18,74,55,334,518
chuang2021_019,任胤蓬,3,首次排名阶段,19,3,6,28,43
chuang2021_019,任胤蓬,4,位置测评与第二次排名阶段,19,641,818,1482,3759
chuang2021_019,任胤蓬,5,主题考核与第三次排名阶段,21,146,226,2923,3521
chuang2021_019,任胤蓬,6,决赛阶段,20,1,2,29,34
chuang2021_020,张欣尧,1,初评级阶段,24,1262,2444,22076,28226
chuang2021_020,张欣尧,2,小组竞演与主题曲阶段,22,36,234,1587,2091
chuang2021_020,张欣尧,3,首次排名阶段,26,64,199,1507,1969
chuang2021_020,张欣尧,4,位置测评与第二次排名阶段,25,59,144,736,1083
chuang2021_020,张欣尧,5,主题考核与第三次排名阶段,25,3,43,233,322
chuang2021_020,张欣尧,6,决赛阶段,24,6,49,203,307
chuang2021_021,俞更寅,1,初评级阶段,27,66,158,644,1026
chuang2021_021,俞更寅,2,小组竞演与主题曲阶段,25,1,11,76,99
chuang2021_021,俞更寅,3,首次排名阶段,23,5,30,75,140
chuang2021_021,俞更寅,4,位置测评与第二次排名阶段,24,22,105,516,748
chuang2021_021,俞更寅,5,主题考核与第三次排名阶段,27,4,62,448,576
chuang2021_021,俞更寅,6,决赛阶段,26,1,47,232,327
chuang2021_022,付思超,1,初评级阶段,25,299,2834,29816,35783
chuang2021_022,付思超,2,小组竞演与主题曲阶段,24,30,87,1656,1860
chuang2021_022,付思超,3,首次排名阶段,21,845,1659,9207,13370
chuang2021_022,付思超,4,位置测评与第二次排名阶段,22,697,990,2195,4872
chuang2021_022,付思超,5,主题考核与第三次排名阶段,26,1041,703,8027,10474
chuang2021_022,付思超,6,决赛阶段,23,486,1301,32346,35434
chuang2021_023,胡烨韬,1,初评级阶段,26,154,1098,13050,15400
chuang2021_023,胡烨韬,2,小组竞演与主题曲阶段,23,6,77,311,471
chuang2021_023,胡烨韬,3,首次排名阶段,25,10,94,586,784
chuang2021_023,胡烨韬,4,位置测评与第二次排名阶段,21,10,48,260,366
chuang2021_023,胡烨韬,5,主题考核与第三次排名阶段,25,1,1,73,76
chuang2021_023,胡烨韬,6,决赛阶段,23,1,2,86,91
chuang2021_024,羽生田挙武,1,初评级阶段,18,279,1161,13484,16085
chuang2021_024,羽生田挙武,2,小组竞演与主题曲阶段,21,208,460,4116,5244
chuang2021_024,羽生田挙武,3,首次排名阶段,19,9,52,205,318
chuang2021_024,羽生田挙武,4,位置测评与第二次排名阶段,27,1,5,32,43
chuang2021_024,羽生田挙武,5,主题考核与第三次排名阶段,20,506,1905,70407,74723
chuang2021_024,羽生田挙武,6,决赛阶段,20,15,170,984,1339
chuang2021_025,薛八一,1,初评级阶段,21,257,1981,19746,23965
chuang2021_025,薛八一,2,小组竞演与主题曲阶段,27,0,4,51,59
chuang2021_025,薛八一,3,首次排名阶段,18,2,20,70,112
chuang2021_025,薛八一,4,位置测评与第二次排名阶段,25,0,8,120,136
chuang2021_025,薛八一,5,主题考核与第三次排名阶段,21,24,139,1401,1703
chuang2021_025,薛八一,6,决赛阶段,23,145,290,1519,2244
chuang2021_026,井胧,1,初评级阶段,22,130,294,950,1668
chuang2021_026,井胧,2,小组竞演与主题曲阶段,28,2,4,32,42
chuang2021_026,井胧,3,首次排名阶段,30,0,2,5,9
chuang2021_026,井胧,4,位置测评与第二次排名阶段,28,4,19,116,158
chuang2021_026,井胧,5,主题考核与第三次排名阶段,26,2,13,98,126
chuang2021_026,井胧,6,决赛阶段,23,10,52,324,438
chuang2021_027,曾涵江,1,初评级阶段,25,254,568,3739,5129
chuang2021_027,曾涵江,2,小组竞演与主题曲阶段,27,720,835,2590,4980
chuang2021_027,曾涵江,3,首次排名阶段,20,0,144,532,820
chuang2021_027,曾涵江,4,位置测评与第二次排名阶段,26,126,206,1221,1759
chuang2021_027,曾涵江,5,主题考核与第三次排名阶段,29,3,29,242,303
chuang2021_027,曾涵江,6,决赛阶段,23,19,47,538,651
chuang2021_028,谢兴阳,1,初评级阶段,24,452,877,2391,4597
chuang2021_028,谢兴阳,2,小组竞演与主题曲阶段,26,3,20,95,138
chuang2021_028,谢兴阳,3,首次排名阶段,10,1,16,16,49
chuang2021_028,谢兴阳,4,位置测评与第二次排名阶段,24,32,213,540,998
chuang2021_028,谢兴阳,5,主题考核与第三次排名阶段,26,801,1456,5133,8846
chuang2021_028,谢兴阳,6,决赛阶段,25,28,108,616,860
chuang2021_029,吴海,1,初评级阶段,23,265,1284,13545,16378
chuang2021_029,吴海,2,小组竞演与主题曲阶段,17,32,265,1143,1705
chuang2021_029,吴海,3,首次排名阶段,27,167,866,13587,15486
chuang2021_029,吴海,4,位置测评与第二次排名阶段,22,20,102,363,587
chuang2021_029,吴海,5,主题考核与第三次排名阶段,24,136,244,1008,1632
chuang2021_029,吴海,6,决赛阶段,24,2,13,159,187
chuang2021_030,何屹繁,1,初评级阶段,24,267,2540,22345,27692
chuang2021_030,何屹繁,2,小组竞演与主题曲阶段,24,20,104,2125,2353
chuang2021_030,何屹繁,3,首次排名阶段,23,4,65,247,381
chuang2021_030,何屹繁,4,位置测评与第二次排名阶段,26,10004,56,69,10185
chuang2021_030,何屹繁,5,主题考核与第三次排名阶段,28,85,69,430,653
chuang2021_030,何屹繁,6,决赛阶段,25,10047,40,265,10392
chuang2021_031,魏子越,1,初评级阶段,28,267,1340,15613,18560
chuang2021_031,魏子越,2,小组竞演与主题曲阶段,23,1335,1075,13014,16499
chuang2021_031,魏子越,3,首次排名阶段,24,44,463,11434,12404
chuang2021_031,魏子越,4,位置测评与第二次排名阶段,24,424,1112,11111,13759
chuang2021_031,魏子越,5,主题考核与第三次排名阶段,22,51112,21136,121649,215033
chuang2021_031,魏子越,6,决赛阶段,23,1398,1633,6578,11242
chuang2021_032,张腾,1,初评级阶段,26,210,1643,15786,19282
chuang2021_032,张腾,2,小组竞演与主题曲阶段,22,30,84,346,544
chuang2021_032,张腾,3,首次排名阶段,22,5,68,133,274
