trainee_id,trainee_name,show_name,window_label,window_start,window_end,window_keyword,post_id,post_url,created_at,text_clean,reposts_count,comments_count,attitudes_count,hotness_score,rank
chuang2021_041,陆定昊,创造营2021,位置测评与第二次排名阶段,2021-03-21,2021-04-03,陆定昊 创造营2021,4621858613235733,https://m.weibo.cn/detail/4621858613235733,2021-04-03 11:27:00, 陆定昊超话  创造营2021超话 今天晚上就要公布结果了 不管是去是留 这一站都不是终点 只是你在二十多岁的一个人生的插曲. 三年前的偶练香蕉九子之一的小太阳陆定昊，在偶练可以留到导师合作舞台 可如今从头再来却连三公都可能参与不了 重头再来却更不如从前 这到底是因为什么啊 在创造营播出前几天 更甚至是前几个月 陆定昊作为热门选手 在赛前作为赛点 不少偶人扬言要投票 直至播出的第一天作为初舞台第一个上场的队伍 一首《糖果超甜》引发了诸多众议 更多的是谩骂声 陆定昊的破音 其他人的拉跨 导致糖果超甜的成员遭受了多少网暴 陆定昊一度被贴上 “油腻”的标签 “标签性思维”大家只会以普遍性看人 特殊性存在普遍性 中国网友难以透过本质看到深层 而对于他的实力 其实是毋庸置疑的 6年的唱跳老人 直至后来跟香蕉解约 被冷藏 遭遇了多少 我们又无法体会和想象. 破音后 遭遇谩骂后 他依然在努力 在努力想要发光 可大家也看到了 鹅厂是怎么对待这些弟弟的 压票 防爆 初舞台那么糟糕 可以二十多名 到了一公 《作为怪物》展现了舞蹈实力 却一点镜头都没有 主题曲根据仅有的镜头判断 怎么也不可能是F的水平 其中内幕又未可知 第一次排名公布 却直接掉到了33名 B班最后一位 第二次公演《FIX ME》 放到了投票通道前一天播出 即便新粉再多也出不了多大力 起不了多大作用了 高音直接惊艳所有人 他没有破音并且展现了自己的VOCAL实力 当年的《爱你 》《戒烟》给了我太多惊喜 但如今的选秀早已不是当年那样了 当年的选秀没有压票 没有恶意剪辑 一切都是那么真实 在偶练随便拉出一个人 我想我都不会脸盲 可现在 一轮游的好多见都没见过 一个镜头都没有 如果留下来了 那我们就继续投票 打投 送他走更远的路 如果淘汰了 那我们也不要气馁 条条大路通罗马 他会有其他的更好的在等着他. 收起 d,2,27,93,149,30
chuang2021_042,邵明明,创造营2021,决赛阶段,2021-04-18,2021-04-24,邵明明 创造营2021,4629269378237324,https://m.weibo.cn/detail/4629269378237324,2021-04-23 22:14:00,创始人们，你们的快乐又来了！ #ID.4 CROZZ的追创时刻# #创造营2021# #与创造营一起来电# 明日决赛在即，小哥哥热情四溢，祈愿一切顺利，今日发福助力！ ID.4CROZZ特意为大家奉上 @创造营2021-代少冬 @创造营2021-一之濑飞鸟 @创造营2021-罗言 @创造营2021-邵明明 @创造营2021-韩佩泉 @创造营2021-何屹繁 @创造营2021-徐绍岚 @创造营2021-佐藤永翔 @创造营2021-何懿峻 @创造营2021-上原一翔的 亲笔签名照！  代少冬超话  一之濑asuka超话  罗言超话  邵明明超话  韩佩泉超话  何屹繁超话  徐绍岚超话  佐藤永翔超话  何懿峻超话  上原一翔超话 关注 @一汽-大众 官方微博，加话题 #与创造营一起来电# #ID.4 CROZZ 的追创时刻# ，转发并评论【ID.4 CROZZ 满电创造想要（此处填写以上10位小哥哥中你所喜爱的一位姓名）签名照】就有机会获得签名照一张。所有创始人转起来！本活动截止日期 O 4月30日00时 ，5月1日公布中奖名单。 签名照领取详细事项请见评论区。 收起 d,168487,278,578,169621,1
chuang2021_042,邵明明,创造营2021,首次排名阶段,2021-03-14,2021-03-20,邵明明 创造营2021,4616956344795568,https://m.weibo.cn/detail/4616956344795568,2021-03-20 22:47:00, 邵明明超话 🌠 #邵明明没有被淘汰# 恭喜 @创造营2021-邵明明 完成新手村任务 接下来我们也一起努力完成后面的关卡吧 剪辑by @南居木一 L 邵明明全国后援会的微博视频 ​,167,215,6886,7483,2
chuang2021_042,邵明明,创造营2021,决赛阶段,2021-04-18,2021-04-24,邵明明 创造营2021,4629104806593247,https://m.weibo.cn/detail/4629104806593247,2021-04-23 11:20:00,#迷妹专访# x #创造营# 2021 学员专访！ 关注 @迷妹专访 @V小妞妞子 带话题 #创4学员同学录# 转发抽送签名照！ @创造营2021-甘望星 喊 @创造营2021-井胧 “老妈妈”是咋回事？ @创造营2021-吴宇恒 出营最想吃三天不停歇；又是什么让 @创造营2021-伯远 发出鹅叫般笑声？ @创造营2021-俞更寅 被韩老师开发了什么新的能力？邵明明 @1002全员给我冲 最大的愿望是？主题词唱歌环节是谁“夹带私货”？时尚大片拍照环节，学员们表现如何？关注 @腾讯视频 @迷妹专访 正片为你揭秘！ L 迷妹专访的微博视频 O 抽奖详情 收起 d,171,255,2033,2714,3
chuang2021_042,邵明明,创造营2021,决赛阶段,2021-04-18,2021-04-24,邵明明 创造营2021,4629107436688750,https://m.weibo.cn/detail/4629107436688750,2021-04-23 11:31:00,#创4学员同学录# #迷妹专访# x #创造营# 2021 学员专访！ 是什么让 @创造营2021-甘望星 喊 @创造营2021-井胧 “老妈妈”？ @创造营2021-吴宇恒 出营最想大吃三天； 主题词唱歌环节是谁“夹带私货”？又是什么让 @创造营2021-伯远 发出鹅叫般笑声？ @创造营2021-俞更寅 被韩老师开发了什么新的能力？ 邵明明 @1002全员给我冲 最大的愿望是？关注 @腾讯视频 @迷妹专访 正片为你揭秘！ L 迷妹专访x创4学员：时尚大片拍照太可了！ 收起 d,10,83,1642,1818,4
chuang2021_042,邵明明,创造营2021,主题考核与第三次排名阶段,2021-04-04,2021-04-17,邵明明 创造营2021,4627043234875029,https://m.weibo.cn/detail/4627043234875029,2021-04-17 18:48:00, 邵明明超话 ✨ #邵明明了不起的艺能# 当你不知道该怎么回应的时候，有可以让你问出“怎么办”的人在身边，真好。 不会说话了，还不适应，都没关系，我们可以慢一点不要急，朋友在，粉丝在，爱你的人都在，我们都会陪你啊 @创造营2021-邵明明 O 网页链接 ​,76,68,1253,1465,5
chuang2021_042,邵明明,创造营2021,决赛阶段,2021-04-18,2021-04-24,邵明明 创造营2021,4629114348113060,https://m.weibo.cn/detail/4629114348113060,2021-04-23 11:58:00,#创4学员同学录# #创造营# 2021 @创造营2021-伯远 @创造营2021-甘望星 @创造营2021-井胧 邵明明 @1002全员给我冲 @创造营2021-吴宇恒 @创造营2021-俞更寅 同学录曝光啦！一起看看在他们心中在创造营里留下了哪些印象？同学录背后的故事，敬请锁定 @迷妹专访 ！ ​,29,110,1034,1283,6
chuang2021_042,邵明明,创造营2021,初评级阶段,2021-02-17,2021-02-27,邵明明 创造营2021,4609337722411768,https://m.weibo.cn/detail/4609337722411768,2021-02-27 22:13:00, 创造营2021超话 第一次公演的分组出来了！！！！你更期待哪一组的表演呢 《莲(Lit)》：李洛尔/力丸/刘宇/罗言/任胤蓬/徐绍岚/怿涵 《作为怪物》：曹左/胡烨韬/李沛洋/刘彰/陆定昊/田口馨也/薛八一 《Lover Boy 88》：陈俊洁/井汲大翔/林墨/张嘉元/张腾/张星特 《霓虹甜心》：上原一翔/徐圣兹/叶皓然/隅田隼平/羽生田挙武/佐藤永翔 《爱 YOU READY，爱我READY》：李泽坤/利路修/刘唐辉/王孝辰/谢兴阳/郑明鑫 《Butter-Fly》：伯远/大卫/付思超/门胁慎刚/韦语节/喜内优心/张璋 《ME!》：贵尚奇/韩佩泉/林豆/卢克/屈柏宇/邵明明 《Yummy》：陈瑞丰/范臻尔/高卿尘/何圳煜/李嘉祥/王泽浩/赞多 《超级冠军》：何屹繁/李家豪/李泰龙/李政庭/刘聪/刘严冬季/一之濑飞鸟 《Radio》：奥斯卡/谷柳霖/凌箫/庆怜/尹浩宇/周柯宇 《女孩》：吴海/吴宇恒/肖力桓/俞更寅/原部凌/张欣尧 《我欢喜喜欢你》：安迪/代少冬/黄鲲/蒋敦豪/赖耀翔/荣耀 《醉拳》：阿克朱力/何懿峻/林煜修/米卡/钱政宇/魏子越/曾涵江 《破茧》：都筑雄哉/甘望星/和马/井胧/诺言/于洋 收起 d,125,181,529,1016,7
chuang2021_042,邵明明,创造营2021,初评级阶段,2021-02-17,2021-02-27,邵明明 创造营2021,4609342927803748,https://m.weibo.cn/detail/4609342927803748,2021-02-27 22:34:00, 创造营2021超话 🏝 #创4排名# 分组详情揭晓！第一次公演下周开启🔛 《莲Lit》力丸、刘宇 《作为怪物》胡烨华、AK刘彰 《Lover boy 88》林墨、张嘉元、张腾 《霓虹甜心》上原一翔 《爱YOU READY，爱我READY》谢兴阳 《Butter- Fly》伯远、大卫、付思超 《ME》韩佩泉、邵明明 《Yummy》赞多、李嘉祥、高卿尘、范臻尔 《超级冠军》何屹繁、李家豪 《Radio》奥斯卡、庆怜、尹浩宇、周柯宇 《女孩》吴宇恒、俞更寅、张欣尧 《我欢喜喜欢你》安迪、蒋敦豪 《醉拳》米卡、钱政宇 《破茧》甘望星、和马、诺言、井胧 收起 d,1,60,263,384,8
chuang2021_042,邵明明,创造营2021,主题考核与第三次排名阶段,2021-04-04,2021-04-17,邵明明 创造营2021,4627085819380471,https://m.weibo.cn/detail/4627085819380471,2021-04-17 21:38:00, 邵明明超话 🦋 #邵明明了不起的艺能# #全世界最好的邵明明# 日常模板稿件 补一张舞狮小明 依旧是小王子的素材 今天看艺能cut一下子就泪目了 还是家里好 @创造营2021-邵明明 如果搞钥匙扣或者立牌的话会有姐子香么 可能会整合一下产出开个非盈利的小团 🈲无授权搬运/二改 🈲商 🈲抹水印 收起 d,1,68,188,325,9
chuang2021_042,邵明明,创造营2021,主题考核与第三次排名阶段,2021-04-04,2021-04-17,邵明明 创造营2021,4627078114970668,https://m.weibo.cn/detail/4627078114970668,2021-04-17 21:07:00, 邵明明超话 🌠 #邵明明了不起的艺能# 尖叫声和掌声一个都不能少！👏🏻《酒醉的蝴蝶》完整版来咯 @创造营2021-邵明明,4,9,189,211,10
chuang2021_042,邵明明,创造营2021,主题考核与第三次排名阶段,2021-04-04,2021-04-17,邵明明 创造营2021,4627035018760893,https://m.weibo.cn/detail/4627035018760893,2021-04-17 18:16:00,#邵明明了不起的艺能# 小明和他的可爱朋友们 之 老朋友和新朋友 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了兄弟重逢过于热情而没收住抱了一下新朋友的 @创造营2021-邵明明 L 邵明明独家帅哥POTATO的微博视频 ​,12,21,144,198,11
chuang2021_042,邵明明,创造营2021,首次排名阶段,2021-03-14,2021-03-20,邵明明 创造营2021,4616955195297125,https://m.weibo.cn/detail/4616955195297125,2021-03-20 22:42:00, 邵明明超话 ✨ #黑人牙膏白酵素助力创造营邵明明闪耀闯关# 学员感谢邵明🈶 体贴邵明🈶 我就是喜欢邵明啊 @创造营2021-邵明明 ​,0,16,85,117,12
chuang2021_042,邵明明,创造营2021,初评级阶段,2021-02-17,2021-02-27,邵明明 创造营2021,4609334745765510,https://m.weibo.cn/detail/4609334745765510,2021-02-27 22:01:00,#创造营2021# 看完后半段对曾涵江印象深刻，笑死 我觉得他巨适合做人事 准确的说是负责招聘这一板块 更具体说就是包揽把人邀约到公司这个动作 自从他选择了《醉拳》之后 我满耳朵都是他操着本来应该唱Rap的嗓子 满屏大喊: 和马打醉拳！ 邵明明～诚邀！ 米卡king！king！king！ 兄弟救命，没有舞担～ 来！你来就是C位！ 以及弹幕全在说他是真人沸羊羊 笑死 收起 d,0,6,100,112,13
chuang2021_042,邵明明,创造营2021,小组竞演与主题曲阶段,2021-02-28,2021-03-13,邵明明 创造营2021,4614394396541989,https://m.weibo.cn/detail/4614394396541989,2021-03-13 21:06:00, 邵明明超话 🌠 #邵明明创造营2021# 此反黑只针对于对邵明明有侮辱谩骂等言论的发言，不针对反黑中提到的他人 人身—人身我➕有害—其他 1. O 网页链接 2. O 网页链接 3. O 网页链接 4. O 网页链接 5. O 网页链接 6. O 网页链接 7. O 网页链接 8. O 网页链接 评论 人身—人身我➕有害—其他 1. O 网页链接 收起 d,0,34,39,107,14
