trainee_id,trainee_name,episode_no,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
chuang2021_021,俞更寅,1,27,66,158,644,1026
chuang2021_021,俞更寅,3,25,1,11,76,99
chuang2021_021,俞更寅,5,23,5,30,75,140
chuang2021_021,俞更寅,7,24,22,105,516,748
chuang2021_021,俞更寅,9,27,4,62,448,576
chuang2021_021,俞更寅,10,26,1,47,232,327
chuang2021_022,付思超,1,25,299,2834,29816,35783
chuang2021_022,付思超,3,24,30,87,1656,1860
chuang2021_022,付思超,5,21,845,1659,9207,13370
chuang2021_022,付思超,7,22,697,990,2195,4872
chuang2021_022,付思超,9,26,1041,703,8027,10474
chuang2021_022,付思超,10,23,486,1301,32346,35434
chuang2021_023,胡烨韬,1,26,154,1098,13050,15400
chuang2021_023,胡烨韬,3,23,6,77,311,471
chuang2021_023,胡烨韬,5,25,10,94,586,784
chuang2021_023,胡烨韬,7,21,10,48,260,366
chuang2021_023,胡烨韬,9,25,1,1,73,76
chuang2021_023,胡烨韬,10,23,1,2,86,91
chuang2021_024,羽生田挙武,1,18,279,1161,13484,16085
chuang2021_024,羽生田挙武,3,21,208,460,4116,5244
chuang2021_024,羽生田挙武,5,19,9,52,205,318
chuang2021_024,羽生田挙武,7,27,1,5,32,43
chuang2021_024,羽生田挙武,9,20,506,1905,70407,74723
chuang2021_024,羽生田挙武,10,20,15,170,984,1339
chuang2021_025,薛八一,1,21,257,1981,19746,23965
chuang2021_025,薛八一,3,27,0,4,51,59
chuang2021_025,薛八一,5,18,2,20,70,112
chuang2021_025,薛八一,7,25,0,8,120,136
chuang2021_025,薛八一,9,21,24,139,1401,1703
chuang2021_025,薛八一,10,23,145,290,1519,2244
chuang2021_026,井胧,1,22,130,294,950,1668
chuang2021_026,井胧,3,28,2,4,32,42
chuang2021_026,井胧,5,30,0,2,5,9
chuang2021_026,井胧,7,28,4,19,116,158
chuang2021_026,井胧,9,26,2,13,98,126
chuang2021_026,井胧,10,23,10,52,324,438
chuang2021_027,曾涵江,1,25,254,568,3739,5129
chuang2021_027,曾涵江,3,27,720,835,2590,4980
chuang2021_027,曾涵江,5,20,0,144,532,820
chuang2021_027,曾涵江,7,26,126,206,1221,1759
chuang2021_027,曾涵江,9,29,3,29,242,303
chuang2021_027,曾涵江,10,23,19,47,538,651
chuang2021_028,谢兴阳,1,24,452,877,2391,4597
chuang2021_028,谢兴阳,3,26,3,20,95,138
chuang2021_028,谢兴阳,5,10,1,16,16,49
chuang2021_028,谢兴阳,7,24,32,213,540,998
chuang2021_028,谢兴阳,9,26,801,1456,5133,8846
chuang2021_028,谢兴阳,10,25,28,108,616,860
chuang2021_029,吴海,1,23,265,1284,13545,16378
chuang2021_029,吴海,3,17,32,265,1143,1705
chuang2021_029,吴海,5,27,167,866,13587,15486
chuang2021_029,吴海,7,22,20,102,363,587
chuang2021_029,吴海,9,24,136,244,1008,1632
chuang2021_029,吴海,10,24,2,13,159,187
chuang2021_030,何屹繁,1,24,267,2540,22345,27692
chuang2021_030,何屹繁,3,24,20,104,2125,2353
chuang2021_030,何屹繁,5,23,4,65,247,381
chuang2021_030,何屹繁,7,26,10004,56,69,10185
chuang2021_030,何屹繁,9,28,85,69,430,653
chuang2021_030,何屹繁,10,25,10047,40,265,10392
chuang2021_031,魏子越,1,28,267,1340,15613,18560
chuang2021_031,魏子越,3,23,1335,1075,13014,16499
chuang2021_031,魏子越,5,24,44,463,11434,12404
chuang2021_031,魏子越,7,24,424,1112,11111,13759
chuang2021_031,魏子越,9,22,51112,21136,121649,215033
chuang2021_031,魏子越,10,23,1398,1633,6578,11242
chuang2021_032,张腾,1,26,210,1643,15786,19282
chuang2021_032,张腾,3,22,30,84,346,544
chuang2021_032,张腾,5,22,5,68,133,274
chuang2021_032,张腾,7,24,38,122,602,884
chuang2021_032,张腾,9,23,14,165,611,955
chuang2021_032,张腾,10,14,5,42,186,275
chuang2021_033,荣耀,1,24,349,2525,22256,27655
chuang2021_033,荣耀,3,24,128,399,3984,4910
chuang2021_033,荣耀,5,27,16,103,422,644
chuang2021_033,荣耀,7,25,944,1375,5048,8742
chuang2021_033,荣耀,9,23,5,37,124,203
chuang2021_033,荣耀,10,23,0,3,140,146
chuang2021_034,贵尚奇,1,25,256,2116,20978,25466
chuang2021_034,贵尚奇,3,24,275,1725,41380,45105
chuang2021_034,贵尚奇,5,25,20,186,520,912
chuang2021_034,贵尚奇,7,25,392,1578,94880,98428
chuang2021_034,贵尚奇,9,25,232,1817,57480,61346
chuang2021_034,贵尚奇,10,25,78621,872,6382,86747
chuang2021_035,上原一翔,1,26,424,2233,21230,26120
chuang2021_035,上原一翔,3,25,383,406,1787,2982
chuang2021_035,上原一翔,5,21,3,125,638,891
chuang2021_035,上原一翔,7,22,36,117,589,859
chuang2021_035,上原一翔,9,25,536,722,2486,4466
chuang2021_035,上原一翔,10,27,1049,1387,13558,17381
chuang2021_036,诺言,1,20,166,1160,13332,15818
chuang2021_036,诺言,3,21,17,141,2179,2478
chuang2021_036,诺言,5,22,1192,578,5441,7789
