trainee_id,trainee_name,final_rank,是否成团,weibo_post_count,reposts_sum,comments_sum,likes_sum,query_attempts,query_success,window_success_count,window_count
chuang2021_014,甘望星,14,0,130,257,665,4950,html:初评级阶段:甘望星 创造营2021:200:24 | html:小组竞演与主题曲阶段:甘望星 创造营2021:200:23 | html:首次排名阶段:甘望星 创造营2021:200:20 | html:位置测评与第二次排名阶段:甘望星 创造营2021:200:21 | html:主题考核与第三次排名阶段:甘望星 创造营2021:200:21 | html:决赛阶段:甘望星 创造营2021:200:21,1,6,6
chuang2021_015,井汲大翔,15,0,143,72,2402,2804,html:初评级阶段:井汲大翔 创造营2021:200:19 | html:小组竞演与主题曲阶段:井汲大翔 创造营2021:200:26 | html:首次排名阶段:井汲大翔 创造营2021:200:22 | html:位置测评与第二次排名阶段:井汲大翔 创造营2021:200:25 | html:主题考核与第三次排名阶段:井汲大翔 创造营2021:200:25 | html:决赛阶段:井汲大翔 创造营2021:200:26,1,6,6
chuang2021_016,张星特,16,0,148,3300,6532,91096,html:初评级阶段:张星特 创造营2021:200:25 | html:小组竞演与主题曲阶段:张星特 创造营2021:200:27 | html:首次排名阶段:张星特 创造营2021:200:23 | html:位置测评与第二次排名阶段:张星特 创造营2021:200:23 | html:主题考核与第三次排名阶段:张星特 创造营2021:200:24 | html:决赛阶段:张星特 创造营2021:200:26,1,6,6
chuang2021_017,利路修,17,0,140,259,3496,21978,html:初评级阶段:利路修 创造营2021:200:23 | html:小组竞演与主题曲阶段:利路修 创造营2021:200:24 | html:首次排名阶段:利路修 创造营2021:200:26 | html:位置测评与第二次排名阶段:利路修 创造营2021:200:24 | html:主题考核与第三次排名阶段:利路修 创造营2021:200:20 | html:决赛阶段:利路修 创造营2021:200:23,1,6,6
chuang2021_018,吴宇恒,18,0,139,289,1388,14113,html:初评级阶段:吴宇恒 创造营2021:200:21 | html:小组竞演与主题曲阶段:吴宇恒 创造营2021:200:25 | html:首次排名阶段:吴宇恒 创造营2021:200:29 | html:位置测评与第二次排名阶段:吴宇恒 创造营2021:200:17 | html:主题考核与第三次排名阶段:吴宇恒 创造营2021:200:24 | html:决赛阶段:吴宇恒 创造营2021:200:23,1,6,6
chuang2021_019,任胤蓬,19,0,118,872,1155,5133,html:初评级阶段:任胤蓬 创造营2021:200:21 | html:小组竞演与主题曲阶段:任胤蓬 创造营2021:200:18 | html:首次排名阶段:任胤蓬 创造营2021:200:19 | html:位置测评与第二次排名阶段:任胤蓬 创造营2021:200:19 | html:主题考核与第三次排名阶段:任胤蓬 创造营2021:200:21 | html:决赛阶段:任胤蓬 创造营2021:200:20,1,6,6
chuang2021_020,张欣尧,20,0,146,1430,3113,26342,html:初评级阶段:张欣尧 创造营2021:200:24 | html:小组竞演与主题曲阶段:张欣尧 创造营2021:200:22 | html:首次排名阶段:张欣尧 创造营2021:200:26 | html:位置测评与第二次排名阶段:张欣尧 创造营2021:200:25 | html:主题考核与第三次排名阶段:张欣尧 创造营2021:200:25 | html:决赛阶段:张欣尧 创造营2021:200:24,1,6,6
chuang2021_021,俞更寅,21,0,152,99,413,1991,html:初评级阶段:俞更寅 创造营2021:200:27 | html:小组竞演与主题曲阶段:俞更寅 创造营2021:200:25 | html:首次排名阶段:俞更寅 创造营2021:200:23 | html:位置测评与第二次排名阶段:俞更寅 创造营2021:200:24 | html:主题考核与第三次排名阶段:俞更寅 创造营2021:200:27 | html:决赛阶段:俞更寅 创造营2021:200:26,1,6,6
chuang2021_022,付思超,22,0,141,3398,7574,83247,html:初评级阶段:付思超 创造营2021:200:25 | html:小组竞演与主题曲阶段:付思超 创造营2021:200:24 | html:首次排名阶段:付思超 创造营2021:200:21 | html:位置测评与第二次排名阶段:付思超 创造营2021:200:22 | html:主题考核与第三次排名阶段:付思超 创造营2021:200:26 | html:决赛阶段:付思超 创造营2021:200:23,1,6,6
chuang2021_023,胡烨韬,23,0,143,182,1320,14366,html:初评级阶段:胡烨韬 创造营2021:200:26 | html:小组竞演与主题曲阶段:胡烨韬 创造营2021:200:23 | html:首次排名阶段:胡烨韬 创造营2021:200:25 | html:位置测评与第二次排名阶段:胡烨韬 创造营2021:200:21 | html:主题考核与第三次排名阶段:胡烨韬 创造营2021:200:25 | html:决赛阶段:胡烨韬 创造营2021:200:23,1,6,6
