trainee_id,trainee_name,date,post_count,reposts_sum,comments_sum,likes_sum
chuang2021_019,任胤蓬,2021-03-20,19,3,6,28
chuang2021_019,任胤蓬,2021-04-03,19,641,818,1482
chuang2021_019,任胤蓬,2021-04-17,21,146,226,2923
chuang2021_019,任胤蓬,2021-04-24,20,1,2,29
chuang2021_020,张欣尧,2021-02-27,24,1262,2444,22076
chuang2021_020,张欣尧,2021-03-10,1,0,3,0
chuang2021_020,张欣尧,2021-03-11,3,6,47,78
chuang2021_020,张欣尧,2021-03-12,8,0,0,0
chuang2021_020,张欣尧,2021-03-13,10,30,184,1509
chuang2021_020,张欣尧,2021-03-20,26,64,199,1507
chuang2021_020,张欣尧,2021-04-03,25,59,144,736
chuang2021_020,张欣尧,2021-04-17,25,3,43,233
chuang2021_020,张欣尧,2021-04-24,24,6,49,203
chuang2021_021,俞更寅,2021-02-27,27,66,158,644
chuang2021_021,俞更寅,2021-03-13,25,1,11,76
chuang2021_021,俞更寅,2021-03-20,23,5,30,75
chuang2021_021,俞更寅,2021-04-03,24,22,105,516
chuang2021_021,俞更寅,2021-04-17,27,4,62,448
chuang2021_021,俞更寅,2021-04-24,26,1,47,232
chuang2021_022,付思超,2021-02-26,3,0,6,5
chuang2021_022,付思超,2021-02-27,22,299,2828,29811
chuang2021_022,付思超,2021-03-13,24,30,87,1656
chuang2021_022,付思超,2021-03-20,21,845,1659,9207
chuang2021_022,付思超,2021-04-03,22,697,990,2195
chuang2021_022,付思超,2021-04-17,26,1041,703,8027
chuang2021_022,付思超,2021-04-24,23,486,1301,32346
chuang2021_023,胡烨韬,2021-02-27,26,154,1098,13050
chuang2021_023,胡烨韬,2021-03-13,23,6,77,311
chuang2021_023,胡烨韬,2021-03-20,25,10,94,586
chuang2021_023,胡烨韬,2021-04-03,21,10,48,260
chuang2021_023,胡烨韬,2021-04-17,25,1,1,73
chuang2021_023,胡烨韬,2021-04-24,23,1,2,86
chuang2021_024,羽生田挙武,2021-02-27,18,279,1161,13484
chuang2021_024,羽生田挙武,2021-03-13,21,208,460,4116
chuang2021_024,羽生田挙武,2021-03-20,19,9,52,205
chuang2021_024,羽生田挙武,2021-04-03,27,1,5,32
chuang2021_024,羽生田挙武,2021-04-17,20,506,1905,70407
chuang2021_024,羽生田挙武,2021-04-24,20,15,170,984
chuang2021_025,薛八一,2021-02-27,21,257,1981,19746
chuang2021_025,薛八一,2021-03-13,27,0,4,51
chuang2021_025,薛八一,2021-03-20,18,2,20,70
chuang2021_025,薛八一,2021-04-03,25,0,8,120
chuang2021_025,薛八一,2021-04-17,21,24,139,1401
chuang2021_025,薛八一,2021-04-24,23,145,290,1519
chuang2021_026,井胧,2021-02-27,22,130,294,950
chuang2021_026,井胧,2021-03-13,28,2,4,32
chuang2021_026,井胧,2021-03-20,30,0,2,5
chuang2021_026,井胧,2021-04-03,28,4,19,116
chuang2021_026,井胧,2021-04-17,26,2,13,98
chuang2021_026,井胧,2021-04-24,23,10,52,324
chuang2021_027,曾涵江,2021-02-27,25,254,568,3739
chuang2021_027,曾涵江,2021-03-13,27,720,835,2590
chuang2021_027,曾涵江,2021-03-20,20,0,144,532
chuang2021_027,曾涵江,2021-04-03,26,126,206,1221
chuang2021_027,曾涵江,2021-04-17,29,3,29,242
chuang2021_027,曾涵江,2021-04-24,23,19,47,538
chuang2021_028,谢兴阳,2021-02-27,24,452,877,2391
chuang2021_028,谢兴阳,2021-03-13,26,3,20,95
chuang2021_028,谢兴阳,2021-03-20,10,1,16,16
chuang2021_028,谢兴阳,2021-04-03,24,32,213,540
chuang2021_028,谢兴阳,2021-04-17,26,801,1456,5133
chuang2021_028,谢兴阳,2021-04-24,25,28,108,616
chuang2021_029,吴海,2021-02-27,23,265,1284,13545
chuang2021_029,吴海,2021-03-09,1,0,2,19
chuang2021_029,吴海,2021-03-10,2,0,3,2
chuang2021_029,吴海,2021-03-11,1,29,139,876
chuang2021_029,吴海,2021-03-12,2,0,12,14
chuang2021_029,吴海,2021-03-13,11,3,109,232
chuang2021_029,吴海,2021-03-20,27,167,866,13587
chuang2021_029,吴海,2021-04-03,22,20,102,363
chuang2021_029,吴海,2021-04-17,24,136,244,1008
chuang2021_029,吴海,2021-04-24,24,2,13,159
chuang2021_030,何屹繁,2021-02-26,5,0,6,6
chuang2021_030,何屹繁,2021-02-27,19,267,2534,22339
chuang2021_030,何屹繁,2021-03-13,24,20,104,2125
chuang2021_030,何屹繁,2021-03-20,23,4,65,247
chuang2021_030,何屹繁,2021-04-03,26,10004,56,69
chuang2021_030,何屹繁,2021-04-17,28,85,69,430
chuang2021_030,何屹繁,2021-04-24,25,10047,40,265
chuang2021_031,魏子越,2021-02-27,28,267,1340,15613
chuang2021_031,魏子越,2021-03-12,2,0,4,14
chuang2021_031,魏子越,2021-03-13,21,1335,1071,13000
chuang2021_031,魏子越,2021-03-20,24,44,463,11434
chuang2021_031,魏子越,2021-03-30,4,39,445,9730
chuang2021_031,魏子越,2021-03-31,4,0,32,40
chuang2021_031,魏子越,2021-04-01,3,25,77,362
chuang2021_031,魏子越,2021-04-02,6,5,10,64
chuang2021_031,魏子越,2021-04-03,7,355,548,915
chuang2021_031,魏子越,2021-04-17,22,51112,21136,121649
