trainee_id,trainee_name,final_rank,is_debut,total_posts,total_engagement,first_week_engagement,finals_week_engagement,peak_week,peak_engagement,peak_over_first_engagement,finals_over_first_engagement,post_count_growth,engagement_per_post
idol_producer_066,杨羿,,0,7,4657,13,2,3,4512,347.076923,0.153846,1.0,665.285714
idol_producer_067,杨非同,,0,94,11001,3208,44,7,6012,1.874065,0.013716,4.0,117.031915
idol_producer_068,林浩楷,,0,37,37865,2124,8485,5,16696,7.86064,3.994821,3.666667,1023.378378
idol_producer_069,梁辉,,0,65,4638,1,1135,7,2935,2935.0,1135.0,18.0,71.353846
idol_producer_070,武连杰,,0,42,2332,974,40,2,974,1.0,0.041068,1.625,55.52381
idol_producer_071,王宥辰,,0,22,6136,1279,1,3,4766,3.726349,0.000782,0.75,278.909091
idol_producer_072,王梓豪,,0,42,26115,2913,17309,11,17309,5.941984,5.941984,2.666667,621.785714
idol_producer_073,王艺龙,,0,75,33201,81,18814,11,18814,232.271605,232.271605,7.666667,442.68
idol_producer_074,甘俊,,0,9,4684,4448,16,3,4448,1.0,0.003597,2.0,520.444444
idol_producer_075,秦子墨,,0,53,14906,16,172,7,8221,513.8125,10.75,9.0,281.245283
idol_producer_076,罗仁麒,,0,31,646,20,4,7,491,24.55,0.2,3.0,20.83871
idol_producer_077,罗杰,,0,41,4842,364,0,3,4448,12.21978,0.0,29.0,118.097561
idol_producer_078,罗正,,0,70,18584,485,38,5,14954,30.83299,0.078351,11.0,265.485714
idol_producer_079,胡致邦,,0,57,8565,48,51,7,8209,171.020833,1.0625,6.333333,150.263158
idol_producer_080,董岩磊,,0,63,8380,20,119,7,7896,394.8,5.95,5.333333,133.015873
idol_producer_081,覃俊毅,,0,60,4066,879,435,5,2230,2.536974,0.494881,6.0,67.766667
idol_producer_082,许凯皓,,0,56,10997,1122,4264,7,4743,4.227273,3.800357,18.0,196.375
idol_producer_083,贝汯璘,,0,89,74154,5062,49953,11,49953,9.868234,9.868234,1.157895,833.191011
idol_producer_084,赵俞澈,,0,41,9897,1009,0,3,6114,6.059465,0.0,24.0,241.390244
idol_producer_085,赵凌峰,,0,40,8228,0,0,3,4453,0.0,0.0,9.666667,205.7
idol_producer_086,邓烺怡,,0,70,15878,486,2305,3,8682,17.864198,4.742798,1.714286,226.828571
idol_producer_087,邱治谐,,0,48,66027,5149,49720,11,49720,9.656244,9.656244,10.0,1375.5625
idol_producer_088,金逸涵,,0,35,52226,3143,12,7,33401,10.627108,0.003818,2.2,1492.171429
idol_producer_089,闵喆祥,,0,24,6474,3,501,3,5960,1986.666667,167.0,0.214286,269.75
idol_producer_090,陆定昊,,0,76,117400,4718,56,7,91646,19.424756,0.011869,9.666667,1544.736842
idol_producer_091,陈义夫,,0,10,4760,0,7,3,4448,0.0,0.0,2.0,476.0
idol_producer_092,陈名豪,,0,63,22425,48,18057,11,18057,376.1875,376.1875,16.0,355.952381
idol_producer_093,陈斯琪,,0,74,7600,0,0,3,6427,0.0,0.0,30.0,102.702703
idol_producer_094,靖佩瑶,,0,72,8205,64,39,7,7739,120.921875,0.609375,3.285714,113.958333
idol_producer_095,韩沐伯,,0,74,351,58,156,11,156,2.689655,2.689655,29.0,4.743243
idol_producer_096,韩雍杰,,0,73,2603,1798,0,1,1798,1.0,0.0,2.9,35.657534
idol_producer_097,高茂桐,,0,48,47304,4715,22814,11,22814,4.8386,4.8386,21.0,985.5
idol_producer_098,黄书豪,,0,79,5033,1759,1201,1,1759,1.0,0.682774,8.333333,63.708861
idol_producer_099,黄新淳,,0,69,23017,10335,868,1,10335,1.0,0.083986,2.571429,333.57971
idol_producer_100,黄若涵,,0,25,10292,261,1165,3,5019,19.229885,4.463602,7.0,411.68
