trainee_id,trainee_name,date,post_count,reposts_sum,comments_sum,likes_sum
idol_producer_020,徐圣恩,2018-03-23,23,627,1258,4164
idol_producer_020,徐圣恩,2018-04-06,27,0,0,0
idol_producer_021,丁泽仁,2018-01-26,1,0,0,1
idol_producer_021,丁泽仁,2018-02-02,3,14,31,97
idol_producer_021,丁泽仁,2018-02-16,1,2,32,106
idol_producer_021,丁泽仁,2018-03-02,20,22,102,354
idol_producer_021,丁泽仁,2018-03-23,15,1,18,66
idol_producer_021,丁泽仁,2018-04-06,14,7,22,156
idol_producer_022,万宇贤,2018-01-26,1,0,0,0
idol_producer_022,万宇贤,2018-02-02,1,6,13,54
idol_producer_022,万宇贤,2018-02-16,1,220,1591,1046
idol_producer_022,万宇贤,2018-03-02,2,0,0,0
idol_producer_022,万宇贤,2018-03-19,1,28,61,95
idol_producer_022,万宇贤,2018-04-06,3,110,222,281
idol_producer_023,于斌,2018-02-16,1,220,1591,1046
idol_producer_023,于斌,2018-02-27,1,0,3,11
idol_producer_023,于斌,2018-03-01,3,0,2,0
idol_producer_023,于斌,2018-03-08,1,0,0,0
idol_producer_023,于斌,2018-03-11,1,0,0,1
idol_producer_023,于斌,2018-03-14,1,0,2,5
idol_producer_023,于斌,2018-03-18,1,0,1,1
idol_producer_023,于斌,2018-03-24,1,0,0,2
idol_producer_024,于浩,2018-01-23,1,0,17,32
idol_producer_024,于浩,2018-01-24,2,1,1,1
idol_producer_024,于浩,2018-01-27,1,138,1087,1443
idol_producer_024,于浩,2018-01-29,2,2,10,25
idol_producer_024,于浩,2018-01-30,2,0,0,2
idol_producer_024,于浩,2018-02-08,1,0,0,1
idol_producer_024,于浩,2018-02-09,1,0,15,39
idol_producer_024,于浩,2018-02-10,2,0,0,1
idol_producer_024,于浩,2018-02-16,2,220,1591,1048
idol_producer_024,于浩,2018-02-22,1,0,0,0
idol_producer_024,于浩,2018-03-08,3,0,2,16
idol_producer_024,于浩,2018-03-09,2,0,0,3
idol_producer_024,于浩,2018-03-10,1,0,0,1
idol_producer_024,于浩,2018-03-11,1,0,0,0
idol_producer_024,于浩,2018-03-12,12,381,417,3457
idol_producer_024,于浩,2018-03-13,1,0,0,6
idol_producer_024,于浩,2018-03-14,2,0,1,3
idol_producer_024,于浩,2018-03-15,1,0,1,1
idol_producer_024,于浩,2018-03-16,1,0,3,2
idol_producer_024,于浩,2018-03-18,1,0,0,0
idol_producer_024,于浩,2018-03-25,2,1,1,1
idol_producer_024,于浩,2018-03-28,5,0,0,0
idol_producer_024,于浩,2018-04-04,2,0,8,44
idol_producer_024,于浩,2018-04-05,1,0,7,4
idol_producer_024,于浩,2018-04-06,3,0,0,0
idol_producer_025,伽里,2018-01-25,2,0,0,0
idol_producer_025,伽里,2018-02-13,1,28,60,257
idol_producer_025,伽里,2018-02-15,1,0,0,0
idol_producer_025,伽里,2018-02-16,2,2,33,107
idol_producer_025,伽里,2018-02-25,5,25,90,166
idol_producer_025,伽里,2018-02-28,1,4,2,17
idol_producer_025,伽里,2018-03-01,4,0,0,0
idol_producer_025,伽里,2018-03-02,3,0,0,9
idol_producer_025,伽里,2018-03-11,6,3,7,17
idol_producer_025,伽里,2018-03-12,2,0,0,20
idol_producer_025,伽里,2018-03-14,1,0,1,0
idol_producer_025,伽里,2018-03-15,2,0,10,6
idol_producer_025,伽里,2018-03-16,3,3,4,17
idol_producer_025,伽里,2018-03-20,1,0,0,3
idol_producer_025,伽里,2018-03-25,1,0,1,0
idol_producer_025,伽里,2018-04-02,1,0,0,0
idol_producer_025,伽里,2018-04-06,14,2,0,2
idol_producer_026,何东东,2018-01-26,3,0,0,7
idol_producer_026,何东东,2018-02-02,2,2,5,24
idol_producer_026,何东东,2018-02-16,6,96,878,864
idol_producer_026,何东东,2018-03-02,22,8498,2945,9030
idol_producer_026,何东东,2018-03-23,21,115,1000,2407
idol_producer_026,何东东,2018-03-31,4,50,20,434
idol_producer_026,何东东,2018-04-01,3,0,3,29
idol_producer_026,何东东,2018-04-02,1,10,53,82
idol_producer_026,何东东,2018-04-03,1,0,0,4
idol_producer_026,何东东,2018-04-04,1,2,7,4
idol_producer_026,何东东,2018-04-05,1,0,7,6
idol_producer_026,何东东,2018-04-06,12,3,9,35
idol_producer_027,何嘉庚,2018-02-02,1,0,3,24
idol_producer_027,何嘉庚,2018-02-09,3,354,1013,2412
idol_producer_027,何嘉庚,2018-02-10,1,4,16,39
idol_producer_027,何嘉庚,2018-02-16,1,220,1591,1046
idol_producer_027,何嘉庚,2018-02-27,1,0,3,11
idol_producer_027,何嘉庚,2018-03-18,1,7,185,423
idol_producer_027,何嘉庚,2018-03-22,1,21,25,31
idol_producer_027,何嘉庚,2018-03-24,5,57,36,70
idol_producer_027,何嘉庚,2018-04-06,3,14,142,546
idol_producer_028,余明君,2018-01-26,7,93,106,201
idol_producer_028,余明君,2018-02-15,4,3,3,13
idol_producer_028,余明君,2018-02-16,7,32,161,481
idol_producer_028,余明君,2018-03-01,5,185,519,592
idol_producer_028,余明君,2018-03-02,20,2222,2464,6350
idol_producer_028,余明君,2018-03-23,25,3717,2496,4206
idol_producer_028,余明君,2018-04-06,15,0,0,11
idol_producer_029,侯浩然,2018-01-19,1,43,71,1229
idol_producer_029,侯浩然,2018-01-20,2,0,0,0
idol_producer_029,侯浩然,2018-01-26,1,0,0,5
idol_producer_029,侯浩然,2018-02-02,1,240,0,0
idol_producer_029,侯浩然,2018-02-09,5,2959,9561,11857
idol_producer_029,侯浩然,2018-02-10,2,47,89,442
idol_producer_029,侯浩然,2018-02-16,1,220,1591,1046
idol_producer_029,侯浩然,2018-03-08,2,24,11,152
idol_producer_029,侯浩然,2018-03-09,1,1,0,3
idol_producer_029,侯浩然,2018-03-27,1,33,69,135
idol_producer_029,侯浩然,2018-04-06,1,0,11,97
idol_producer_030,凌崎,2018-01-26,10,2,6,23
idol_producer_030,凌崎,2018-02-01,4,0,0,0
idol_producer_030,凌崎,2018-02-02,10,370,205,146
idol_producer_030,凌崎,2018-02-14,7,0,0,0
idol_producer_030,凌崎,2018-02-16,3,1612,2770,5469
idol_producer_030,凌崎,2018-03-01,7,0,6,7
idol_producer_030,凌崎,2018-03-02,9,1164,1018,1112
idol_producer_030,凌崎,2018-03-19,11,0,0,5
idol_producer_030,凌崎,2018-04-06,23,0,0,5
