trainee_id,trainee_name,week_no,window_label,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
idol_producer_017,董又霖,7,合作舞台阶段,15,120,281,1112,1794
idol_producer_017,董又霖,11,总决赛阶段,16,2,7,56,72
idol_producer_018,秦奋,1,初评级阶段,3,2195,656,1965,5472
idol_producer_018,秦奋,2,主题曲考核阶段,2,2600,1611,1416,7238
idol_producer_018,秦奋,3,位置测评阶段,2,381,1071,4114,6637
idol_producer_018,秦奋,5,排名发布阶段,19,2,32,136,202
idol_producer_018,秦奋,7,合作舞台阶段,18,0,13,17,43
idol_producer_018,秦奋,11,总决赛阶段,11,1,17,58,93
idol_producer_019,林超泽,1,初评级阶段,2,4,2,2,10
idol_producer_019,林超泽,2,主题曲考核阶段,2,61,594,446,1695
idol_producer_019,林超泽,3,位置测评阶段,5,289,1691,4946,8617
idol_producer_019,林超泽,5,排名发布阶段,22,11,133,191,468
idol_producer_019,林超泽,7,合作舞台阶段,20,5,28,97,158
idol_producer_019,林超泽,11,总决赛阶段,13,2,28,191,249
idol_producer_020,徐圣恩,1,初评级阶段,1,0,0,0,0
idol_producer_020,徐圣恩,2,主题曲考核阶段,2,1,5,33,44
idol_producer_020,徐圣恩,3,位置测评阶段,4,68,101,331,601
idol_producer_020,徐圣恩,5,排名发布阶段,19,32,217,457,923
idol_producer_020,徐圣恩,7,合作舞台阶段,23,627,1258,4164,7307
idol_producer_020,徐圣恩,11,总决赛阶段,27,0,0,0,0
idol_producer_021,丁泽仁,1,初评级阶段,1,0,0,1,1
idol_producer_021,丁泽仁,2,主题曲考核阶段,3,14,31,97,173
idol_producer_021,丁泽仁,3,位置测评阶段,1,2,32,106,172
idol_producer_021,丁泽仁,5,排名发布阶段,20,22,102,354,580
idol_producer_021,丁泽仁,7,合作舞台阶段,15,1,18,66,103
idol_producer_021,丁泽仁,11,总决赛阶段,14,7,22,156,207
idol_producer_022,万宇贤,1,初评级阶段,1,0,0,0,0
idol_producer_022,万宇贤,2,主题曲考核阶段,1,6,13,54,86
idol_producer_022,万宇贤,3,位置测评阶段,1,220,1591,1046,4448
idol_producer_022,万宇贤,5,排名发布阶段,2,0,0,0,0
idol_producer_022,万宇贤,7,合作舞台阶段,1,28,61,95,245
idol_producer_022,万宇贤,11,总决赛阶段,3,110,222,281,835
idol_producer_023,于斌,3,位置测评阶段,1,220,1591,1046,4448
idol_producer_023,于斌,5,排名发布阶段,4,0,5,11,21
idol_producer_023,于斌,7,合作舞台阶段,4,0,3,7,13
idol_producer_023,于斌,11,总决赛阶段,1,0,0,2,2
idol_producer_024,于浩,1,初评级阶段,3,1,18,33,70
idol_producer_024,于浩,2,主题曲考核阶段,5,140,1097,1470,3804
idol_producer_024,于浩,3,位置测评阶段,6,220,1606,1089,4521
idol_producer_024,于浩,5,排名发布阶段,1,0,0,0,0
idol_producer_024,于浩,7,合作舞台阶段,25,381,424,3489,4718
idol_producer_024,于浩,11,总决赛阶段,13,1,16,49,82
idol_producer_025,伽里,1,初评级阶段,2,0,0,0,0
idol_producer_025,伽里,3,位置测评阶段,4,30,93,364,580
